ticker,etp_category
FIEGF US,LI
QTAC US,LI
LQPE US,LI
HOLD US,LI
MATE US,CC
FBDC US,CC
GCC US,Crypto
WTMF US,Crypto
DADS US,Crypto
ALLW US,LI
ORO US,Crypto
OWNB US,Crypto
RDVY US,Thematic
MAGS US,Thematic
QQQJ US,Thematic
LRGE US,Thematic
AIVL US,Thematic
VSDA US,Thematic
FFOX US,Thematic
DUNK US,Thematic
KSTR US,Thematic
FFND US,Thematic
COWS US,Thematic
AIVI US,Thematic
INVN US,Thematic
WRND US,Thematic
GGTL US,Thematic
QQJG US,Thematic
EMSF US,Thematic
