ticker,etp_category
GLNK US,Crypto
GSNR US,Crypto
GSOL US,Crypto
GXRP US,Crypto
HBR US,Crypto
HBTC US,Crypto
HECO US,Crypto
HODL US,Crypto
IBIT US,Crypto
IETH US,Crypto
LTCC US,Crypto
LTCN US,Crypto
MANA US,Crypto
MAXI US,Crypto
MNRS US,Crypto
NCIQ US,Crypto
NEHI US,Crypto
NODE US,Crypto
OBNB US,Crypto
OBNK US,Crypto
OBTC US,Crypto
ODOT US,Crypto
OOQB US,Crypto
OOSB US,Crypto
ORO US,Crypto
OSOL US,Crypto
OWNB US,Crypto
QETH US,Crypto
QSOL US,Crypto
SATO US,Crypto
SBIT US,Crypto
SETH US,Crypto
SLON US,Crypto
SOEZ US,Crypto
SOLC US,Crypto
SOLZ US,Crypto
SPBC US,Crypto
SSK US,Crypto
STBQ US,Crypto
STCE US,Crypto
TETH US,Crypto
TKNQ US,Crypto
TOXR US,Crypto
TSOL US,Crypto
TTOP US,Crypto
TXBC US,Crypto
VSOL US,Crypto
WGMI US,Crypto
WTIB US,Crypto
WTIP US,Crypto
XRP US,Crypto
XRPC US,Crypto
XRPI US,Crypto
XRPR US,Crypto
XRPZ US,Crypto
CLNK US,Crypto
AAPR US,Defined
AIOO US,Defined
AJAN US,Defined
AJUL US,Defined
AOCT US,Defined
APOC US,Defined
APRB US,Defined
APRH US,Defined
APRJ US,Defined
APRP US,Defined
APRT US,Defined
APRW US,Defined
APRZ US,Defined
APXM US,Defined
ARKD US,Defined
ARKT US,Defined
ARLU US,Defined
AUGM US,Defined
AUGP US,Defined
AUGT US,Defined
AUGU US,Defined
AUGW US,Defined
AUGZ US,Defined
BALT US,Defined
BAPR US,Defined
BAUG US,Defined
BDEC US,Defined
BFAP US,Defined
BFEB US,Defined
BFJL US,Defined
BFLB US,Defined
BFOC US,Defined
BFRZ US,Defined
BGLD US,Defined
BJAN US,Defined
BJUL US,Defined
BJUN US,Defined
BMAR US,Defined
BMAY US,Defined
BNOV US,Defined
BOCT US,Defined
BSEP US,Defined
BSTP US,Defined
BUFB US,Defined
BUFC US,Defined
BUFD US,Defined
BUFF US,Defined
BUFG US,Defined
BUFH US,Defined
BUFI US,Defined
BUFM US,Defined
BUFP US,Defined
BUFQ US,Defined
BUFR US,Defined
BUFS US,Defined
BUFT US,Defined
BUFX US,Defined
BUFY US,Defined
BUFZ US,Defined
CBOA US,Defined
CBOJ US,Defined
CBOL US,Defined
CBOO US,Defined
CBOY US,Defined
CBTA US,Defined
CBTJ US,Defined
CBTL US,Defined
CBTO US,Defined
CBTY US,Defined
CBXA US,Defined
CBXJ US,Defined
CBXL US,Defined
CBXO US,Defined
CBXY US,Defined
CPNJ US,Defined
CPNM US,Defined
CPNQ US,Defined
CPNS US,Defined
CPRA US,Defined
CPRJ US,Defined
CPRO US,Defined
CPRY US,Defined
CPSA US,Defined
CPSD US,Defined
CPSF US,Defined
CPSJ US,Defined
CPSL US,Defined
CPSM US,Defined
CPSN US,Defined
CPSO US,Defined
CPSP US,Defined
CPSR US,Defined
CPST US,Defined
CPSU US,Defined
CPSY US,Defined
DAPR US,Defined
DAUG US,Defined
DDEC US,Defined
DDFD US,Defined
DDFJ US,Defined
DDFL US,Defined
DDFN US,Defined
DDFO US,Defined
DDFS US,Defined
DDNQ US,Defined
DDSQ US,Defined
DDTD US,Defined
DDTJ US,Defined
DDTL US,Defined
DDTN US,Defined
DDTO US,Defined
DDTS US,Defined
DECM US,Defined
DECP US,Defined
DECT US,Defined
DECU US,Defined
DECW US,Defined
DECZ US,Defined
DFEB US,Defined
DGOC US,Defined
DHDG US,Defined
DHSB US,Defined
DJAN US,Defined
DJUL US,Defined
DJUN US,Defined
DLAG US,Defined
DLNV US,Defined
DMAR US,Defined
DMAX US,Defined
DMAY US,Defined
DNOV US,Defined
DOCT US,Defined
DRSK US,Defined
DSEP US,Defined
DVIN US,Defined
DVQQ US,Defined
DVRE US,Defined
DVSP US,Defined
DVUT US,Defined
DVXB US,Defined
DVXC US,Defined
DVXE US,Defined
DVXF US,Defined
DVXK US,Defined
DVXP US,Defined
DVXV US,Defined
DVXY US,Defined
EALT US,Defined
EAPR US,Defined
EBUF US,Defined
EJAN US,Defined
EJUL US,Defined
EOCT US,Defined
FAPR US,Defined
FAUG US,Defined
FB US,Defined
FBUF US,Defined
FDEC US,Defined
FEBM US,Defined
FEBP US,Defined
FEBT US,Defined
FEBU US,Defined
FEBW US,Defined
FEBZ US,Defined
FFEB US,Defined
FHDG US,Defined
FHEQ US,Defined
FJAN US,Defined
FJUL US,Defined
FJUN US,Defined
FLAO US,Defined
FLJJ US,Defined
FMAR US,Defined
FMAY US,Defined
FNOV US,Defined
FOCT US,Defined
FSEP US,Defined
GAPR US,Defined
GAUG US,Defined
GBXA US,Defined
GBXB US,Defined
GBXC US,Defined
GDEC US,Defined
GFEB US,Defined
GJAN US,Defined
GJUL US,Defined
GJUN US,Defined
GMAR US,Defined
GMAY US,Defined
GNOV US,Defined
GOCT US,Defined
GSEP US,Defined
HELO US,Defined
HEQQ US,Defined
HOLA US,Defined
HYKE US,Defined
IAPR US,Defined
IAUG US,Defined
IBUF US,Defined
IDEC US,Defined
IFEB US,Defined
IFLR US,Defined
IJAN US,Defined
IJUL US,Defined
IJUN US,Defined
IMAR US,Defined
IMAY US,Defined
INOV US,Defined
IOCT US,Defined
ISEP US,Defined
IVVB US,Defined
IVVM US,Defined
JAJL US,Defined
JANB US,Defined
JANH US,Defined
JANJ US,Defined
JANM US,Defined
JANP US,Defined
JANT US,Defined
JANU US,Defined
JANW US,Defined
JANZ US,Defined
JNEU US,Defined
JULB US,Defined
JULH US,Defined
JULJ US,Defined
JULM US,Defined
JULP US,Defined
JULT US,Defined
JULU US,Defined
JULW US,Defined
JULZ US,Defined
JUNM US,Defined
JUNP US,Defined
JUNT US,Defined
JUNW US,Defined
JUNZ US,Defined
KAPR US,Defined
KAUG US,Defined
KBUF US,Defined
KDEC US,Defined
KFEB US,Defined
KIQQ US,Defined
KJAN US,Defined
KJUL US,Defined
KJUN US,Defined
KMAR US,Defined
KMAY US,Defined
KNOV US,Defined
KOCT US,Defined
KPRO US,Defined
KSEP US,Defined
LAPR US,Defined
LJAN US,Defined
LJUL US,Defined
LOCT US,Defined
MARM US,Defined
MART US,Defined
MARU US,Defined
MARW US,Defined
MARZ US,Defined
MAXJ US,Defined
MAYM US,Defined
MAYP US,Defined
MAYT US,Defined
MAYU US,Defined
MAYW US,Defined
MAYZ US,Defined
MMAX US,Defined
MRCP US,Defined
NAPR US,Defined
NAUG US,Defined
NDEC US,Defined
NFEB US,Defined
NJAN US,Defined
NJUL US,Defined
NJUN US,Defined
NMAR US,Defined
NMAY US,Defined
NNOV US,Defined
NOCT US,Defined
NOVM US,Defined
NOVP US,Defined
NOVZ US,Defined
NSEP US,Defined
NVBT US,Defined
NVBU US,Defined
NVBW US,Defined
OCTB US,Defined
OCTH US,Defined
OCTJ US,Defined
OCTM US,Defined
OCTP US,Defined
OCTT US,Defined
OCTU US,Defined
OCTW US,Defined
OCTZ US,Defined
ONEZ US,Defined
PAPR US,Defined
PAUG US,Defined
PBAP US,Defined
PBAU US,Defined
PBDE US,Defined
PBFB US,Defined
PBFR US,Defined
PBJA US,Defined
PBJL US,Defined
PBJN US,Defined
PBMR US,Defined
PBMY US,Defined
PBNV US,Defined
PBOC US,Defined
PBQQ US,Defined
PBSE US,Defined
PDEC US,Defined
PFEB US,Defined
PJAN US,Defined
PJUL US,Defined
PJUN US,Defined
PMAP US,Defined
PMAR US,Defined
PMAU US,Defined
PMAY US,Defined
PMDE US,Defined
PMFB US,Defined
PMJA US,Defined
PMJL US,Defined
PMJN US,Defined
PMMR US,Defined
PMMY US,Defined
PMNV US,Defined
PMOC US,Defined
PMSE US,Defined
PNOV US,Defined
POCT US,Defined
PQAP US,Defined
PQJA US,Defined
PQJL US,Defined
PQOC US,Defined
PSCJ US,Defined
PSCQ US,Defined
PSCW US,Defined
PSCX US,Defined
PSEP US,Defined
PSFD US,Defined
PSFF US,Defined
PSFJ US,Defined
PSFM US,Defined
PSFO US,Defined
PSMD US,Defined
PSMJ US,Defined
