ticker,fund_name,etp_category,current_issuer,suggested_brand
AIK US,TIDAL TRUST V -DEFIANCE KOREA SEMICONDUCTOR ETF,Thematic,Tidal Trust V,Tidal
ETFF US,ETF 50,,Amplify Commodity Trust,ETF
